,file_name,game_age,game_cat,game_fans,game_players,game_time,game_weight
6580,html_files_games\_boardgame_38680_boochie.html,Age: 8+,,0,2–4 Players,15 Min,1.00 / 5
6581,html_files_games\_boardgame_38703_eve-conquests.html,Age: 10+,"Rank: Overall 5,627",33,2–4 Players,120 Min,3.42 / 5
6582,html_files_games\_boardgame_38707_bushido-der-weg-des-kriegers.html,Age: 12+,"Rank: Overall 5,925 Strategy 1,605",15,3–5 Players,90 Min,3.60 / 5
6583,html_files_games\_boardgame_3870_7-ages.html,Age: 14+,"Rank: Overall 1,627 Strategy 813",93,2–7 Players,480 Min,3.93 / 5
6584,html_files_games\_boardgame_38713_times-edicion-amarilla.html,Age: ––,"Rank: Overall 1,558 Party 49",14,4–12 Players,30 Min,N/A
6585,html_files_games\_boardgame_38718_normandy-44.html,Age: ––,"Rank: Overall 1,310 War 55",129,2–3 Players,420 Min,3.35 / 5
6586,html_files_games\_boardgame_38735_swarm.html,Age: 12+,"Rank: Overall 3,245 Strategy 1,236",13,2–4 Players,75 Min,2.60 / 5
6587,html_files_games\_boardgame_38749_catan-geographies-germany.html,Age: 10+,"Rank: Overall 2,397 Strategy 1,053 Family 624",20,3–4 Players,60 Min,2.38 / 5
6588,html_files_games\_boardgame_3874_ultimate-mastermind.html,Age: 8+,"Rank: Overall 6,079 Abstract 478",6,2 Players,10 Min,2.33 / 5
6589,html_files_games\_boardgame_38755_college-basketball-dynasty.html,Age: ––,,23,1–14 Players,60 Min,2.00 / 5
6590,html_files_games\_boardgame_38764_shuuro.html,Age: ––,"Rank: Overall 5,633 Abstract 253",30,2 Players,30 Min,3.26 / 5
6591,html_files_games\_boardgame_38765_ground-floor.html,Age: 12+,"Rank: Overall 1,099 Strategy 579",99,2–6 Players,90–150 Min,3.72 / 5
6592,html_files_games\_boardgame_38772_mage-knight-conquest.html,Age: ––,,10,2 Players,60 Min,3.33 / 5
6593,html_files_games\_boardgame_38778_heads-state.html,Age: 12+,"Rank: Overall 4,323 Strategy 1,454",15,2–5 Players,90–120 Min,2.94 / 5
6594,html_files_games\_boardgame_38786_red-winter-soviet-attack-tolvajarvi-finland-8-12-d.html,Age: 12+,"Rank: Overall 1,684 War 66",106,2 Players,20–720 Min,2.96 / 5
6595,html_files_games\_boardgame_38797_uruk-wiege-der-zivilisation.html,Age: 12+,"Rank: Overall 2,567 Strategy 1,085",22,2–4 Players,60 Min,2.51 / 5
6596,html_files_games\_boardgame_387_corruption.html,Age: 10+,,2,3–7 Players,45 Min,1.82 / 5
6597,html_files_games\_boardgame_38805_rebel-raiders-high-seas.html,Age: ––,"Rank: Overall 4,596 War 610",33,2 Players,360 Min,2.59 / 5
6598,html_files_games\_boardgame_38821_settlers-catan-gallery-edition.html,Age: 10+,"Rank: Overall 3,237",20,3–4 Players,60 Min,2.30 / 5
6599,html_files_games\_boardgame_38823_conflict-heroes-storms-steel-kursk-1943.html,Age: 12+,Rank: Overall 696 War 44,261,1–4 Players,120 Min,3.10 / 5
6600,html_files_games\_boardgame_38837_pocket-falaise.html,Age: 12+,"Rank: Overall 6,344 War 955",6,1–2 Players,240 Min,2.80 / 5
6601,html_files_games\_boardgame_38858_strada-romana.html,Age: 8+,"Rank: Overall 5,235 Strategy 1,549",7,2–5 Players,45 Min,2.08 / 5
6602,html_files_games\_boardgame_38862_giants.html,Age: 10+,Rank: Overall 981 Strategy 539,91,3–5 Players,90 Min,2.94 / 5
6603,html_files_games\_boardgame_38863_hab-gut.html,Age: 10+,"Rank: Overall 1,057 Strategy 557",51,3–5 Players,45 Min,2.18 / 5
6604,html_files_games\_boardgame_38870_pensacola.html,Age: ––,"Rank: Overall 6,517 War 1,021",12,2 Players,360 Min,3.17 / 5
6605,html_files_games\_boardgame_38872_jet-set.html,Age: 12+,"Rank: Overall 2,043 Strategy 936",25,2–6 Players,90–120 Min,2.58 / 5
6606,html_files_games\_boardgame_38873_cambria.html,Age: 8+,"Rank: Overall 4,134 Strategy 1,396 Family 996",17,2–5 Players,20 Min,1.80 / 5
6607,html_files_games\_boardgame_38877_no-retreat.html,Age: ––,"Rank: Overall 3,302 War 253",25,1–2 Players,45 Min,2.57 / 5
6608,html_files_games\_boardgame_3887_stock-market-game.html,Age: 10+,,16,2–8 Players,180 Min,1.95 / 5
6609,html_files_games\_boardgame_38904_wind-river.html,Age: 12+,"Rank: Overall 5,164 Abstract 258",10,3–4 Players,60 Min,2.16 / 5
6610,html_files_games\_boardgame_38918_hooop.html,Age: 7+,"Rank: Overall 6,533 Abstract 402",5,2–4 Players,20 Min,1.71 / 5
6611,html_files_games\_boardgame_38923_god-kings-warfare-dawn-civilization-1500-1260bc.html,Age: ––,"Rank: Overall 6,029 War 1,024",28,2–4 Players,60–480 Min,2.89 / 5
6612,html_files_games\_boardgame_38931_basilica.html,Age: 10+,"Rank: Overall 3,053 Strategy 1,199",24,2 Players,45 Min,2.31 / 5
6613,html_files_games\_boardgame_3893_full-thrust.html,Age: 12+,"Rank: Overall 2,506 War 298 Thematic 419",88,2–6 Players,120 Min,2.62 / 5
6614,html_files_games\_boardgame_38944_romana.html,Age: 8+,"Rank: Overall 6,076",4,2–4 Players,45 Min,2.26 / 5
6615,html_files_games\_boardgame_3895_silent-death.html,Age: 10+,"Rank: Overall 3,098 War 522",40,2–8 Players,120 Min,2.75 / 5
6616,html_files_games\_boardgame_38980_mecanisburgo.html,Age: 14+,"Rank: Overall 4,504 Thematic 608",28,2–6 Players,120 Min,3.73 / 5
6617,html_files_games\_boardgame_38984_mow.html,Age: 7+,"Rank: Overall 2,950 Family 816",19,2–10 Players,15 Min,1.09 / 5
6618,html_files_games\_boardgame_38986_18neb.html,Age: 12+,"Rank: Overall 4,044 Strategy 1,348",4,2–4 Players,180 Min,4.05 / 5
6619,html_files_games\_boardgame_38992_royal-palace.html,Age: 12+,"Rank: Overall 1,168 Strategy 638",44,2–4 Players,60 Min,2.78 / 5
6620,html_files_games\_boardgame_38996_washingtons-war.html,Age: ––,Rank: Overall 467 War 36,217,2 Players,90 Min,2.85 / 5
6621,html_files_games\_boardgame_389_die-mauer.html,Age: 8+,,0,3–6 Players,30 Min,1.27 / 5
6622,html_files_games\_boardgame_39019_nothing-gained-glory.html,Age: ––,"Rank: Overall 3,119 War 243",42,2 Players,300 Min,3.70 / 5
6623,html_files_games\_boardgame_3901_sturm-nach-osten.html,Age: 12+,,10,1–2 Players,360 Min,2.82 / 5
6624,html_files_games\_boardgame_39020_professor-punschge.html,Age: 12+,,0,2–7 Players,30 Min,2.36 / 5
6625,html_files_games\_boardgame_39045_heroes-world.html,Age: 10+,"Rank: Overall 5,262 Strategy 1,550",8,2–5 Players,75 Min,2.16 / 5
6626,html_files_games\_boardgame_39066_supreme-commander.html,Age: ––,"Rank: Overall 5,795 War 1,048",39,2–5 Players,300 Min,3.34 / 5
6627,html_files_games\_boardgame_39067_june-44.html,Age: ––,,9,2 Players,120 Min,2.11 / 5
6628,html_files_games\_boardgame_39088_hoppladi-hopplada.html,Age: 8+,"Rank: Overall 4,153 Family 1,009",8,2–7 Players,20 Min,1.26 / 5
6629,html_files_games\_boardgame_39095_klickado.html,Age: ––,,7,2–5 Players,15 Min,1.00 / 5
